strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
Limeade,2/20/2017 15:14,12704,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Highball glass,,Lime,,,,,,,Sugar,Soda water,Lime peel,,,,,,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",Juice of 1 ,,,,,,,1 tblsp ," (seltzer water)
", , , , , ,,
Limona Corona,9/3/2015 3:51,15086,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Beer Glass,,Corona,,,,,,,Bacardi Limon,,,,,,,,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",1 bottle ,,,,,,,1 oz , , , , , ,,,
Loch Lomond,7/19/2016 11:24,11658,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Cocktail glass,,Scotch,,,,,,,Drambuie,Dry Vermouth,Lemon peel,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",2 oz ,,,,,,,1/2 oz ,1/2 oz ,1 twist of , , , , , ,
London Town,7/19/2016 11:18,11662,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Cocktail glass,,Gin,,,,,,,Maraschino liqueur,Orange bitters,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1/2 oz ,2 dashes , , , , , ,,
Lone Tree Cocktail,7/19/2016 11:16,11664,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Gin,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,1 1/2 oz , , , , , ,,,
Lone Tree Cooler,11/16/2016 12:14,11666,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Collins glass,,Carbonated water,,,,,,,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.","
","
","
",,,,,"
","
","
","
","
","
","
","
",
Long Island Iced Tea,9/2/2017 17:41,17204,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Highball glass,Contemporary Classics,Vodka,,,,,,,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,1/2 oz , , ,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of , , , ,
Long Island Tea,8/18/2015 14:54,11668,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Highball glass,,Vodka,,,,,,,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,1/2 oz , , ,,,,,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash , , , ,
Long vodka,8/24/2017 10:00,13196,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Highball glass,,Vodka,,,,,,,Lime,Angostura bitters,Tonic water,Ice,,,,,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",5 cl , ,,,,,,2-Jan,4 dashes ,1 dl Schweppes ,4, , , , ,
Lord And Lady,7/19/2016 11:13,11670,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Old-fashioned glass,,Dark rum,,,,,,,Tia maria,,,,,,,,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,1/2 oz , , , , , ,,,
Lunch Box,2/3/2016 15:15,14378,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint glass,,Beer,,,,,,,Amaretto,Orange juice,,,,,,,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,3/4 bottle ,,,,,,,1 shot ,1 oz , , , , , ,,
Mai Tai,8/18/2015 15:17,11690,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Collins glass,Contemporary Classics,Light rum,,,,,,,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,1 oz , ,,,,,,1/2 oz ,1/2 oz ,1 1/2 oz ,1, , , , ,
Malibu Twister,9/8/2017 16:42,15224,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball glass,,Malibu rum,,,,,,,Tropicana,Cranberry juice,,,,,,,"Add rum & trister then, add cranberry jucie,stir",2 parts ,,,,,,,2 parts ,1 part , , , , , ,,
Mango Orange Smoothie,2/20/2017 15:12,12716,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,Highball Glass,,Mango,,,,,,,Orange,,,,,,,,Throw everything into a blender and liquify.,1,,,,,,,2, , , , , ,,,
Manhattan,9/2/2017 12:07,13839,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Cocktail glass,Unforgettables,Sweet Vermouth,,,,,,,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,"Stirred over ice, strained into a chilled glass, garnished, and served up.",3/4 oz , , ,,,,,2 1/2 oz Blended ,dash ,2 or 3 ,1,1 twist of , , , ,
Margarita,8/18/2015 14:42,13060,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Cocktail glass,Contemporary Classics,Tequila,,,,,,,Triple sec,Lime juice,Salt,,,,,,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",1 1/2 oz ,,,,,,,1/2 oz ,1 oz ,,,,,,,
Martinez Cocktail,8/18/2015 15:00,11720,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Cocktail glass,,Gin,,,,,,,Dry Vermouth,Triple sec,Orange bitters,Cherry,,,,,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 oz , ,,,,,,1 oz ,1/4 tsp ,1 dash ,1, , , , ,
Martini,9/2/2017 12:51,11728,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Dry Vermouth,Olive,,,,,,,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",1 2/3 oz ,,,,,,,1/3 oz ,1, , , , , ,,
Mary Pickford,9/2/2017 12:09,17188,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Cocktail glass,Unforgettables,Light rum,,,,,,,Pineapple juice,Maraschino liqueur,Grenadine,Maraschino cherry,,,,,Shake and strain into a chilled large cocktail glass,1 1/2 oz , ,,,,,,1 oz ,1/2 tsp ,1/2 tsp ,1, , , , ,
Masala Chai,9/3/2015 3:13,12774,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Coffee Mug,,Water,,,,,,,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black pepper,Sugar,Milk,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,2 cups , , , , ,,,3-4 tsp ,1 chunk dried ,3-4 crushed ,3,1 piece ,1-2 whole ," to taste
", ,
Melya,9/3/2015 3:32,12776,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Coffee mug,,Espresso,,,,,,,Honey,Cocoa powder,,,,,,,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","
",,,,,,,Unsweetened , , , , , ,,,
Miami Vice,9/2/2015 16:49,13936,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Cocktail glass,,151 proof rum,,,,,,,Pina colada mix,Daiquiri mix,,,,,,,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",5 oz Bacardi ,,,,,,,frozen ,frozen , , , , , ,,
Microwave Hot Cocoa,2/20/2017 15:05,12744,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,Coffee mug,,Sugar,,,,,,,Cocoa powder,Salt,Water,Milk,Vanilla extract,,,,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well.",5 tblsp , , ,,,,,3 tblsp ,1 dash ,3 tblsp hot ,2 cups ,1/4 tsp , , , ,
Midnight Cowboy,9/2/2015 16:35,11766,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg,Cocktail glass,,Bourbon,,,,,,,Dark rum,Heavy cream,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1/2 oz , , , , , ,,
Midnight Manx,9/2/2015 16:37,13825,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Old-fashioned glass,,Kahlua,,,,,,,Bailey's irish cream,Goldschlager,Heavy cream,Coffee,,,,,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",1 oz , ,,,,,,1 oz ,dash ,2 oz ,2 oz Hazlenut , , , , ,
Midnight Mint,9/2/2015 16:38,14842,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Cocktail glass,,Bailey's irish cream,,,,,,,White Creme de Menthe,Cream,,,,,,,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",1 oz ,,,,,,,3/4 oz ,3/4 oz double , , , , , ,,
Mimosa,9/2/2017 17:44,17205,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne flute,Contemporary Classics,Champagne,,,,,,,Orange juice,,,,,,,,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Chilled ,,,,,,,2 oz , , , , , ,,,
Mississippi Planters Punch,8/18/2015 15:18,11786,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Collins glass,,Brandy,,,,,,,Light rum,Bourbon,Lemon,Powdered sugar,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",1 oz ,"
","
",,,,,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 tblsp ,"
","
","
","
",
Mocha-Berry,9/3/2015 3:14,14209,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg,Irish coffee cup,,Coffee,,,,,,,Chambord raspberry liqueur,Cocoa powder,Whipped cream,,,,,,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",6 oz ,,,,,,,2 oz ,2 tblsp ,"
","
","
","
","
","
",
Mojito,11/4/2016 9:17,13427,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Highball glass,Contemporary Classics,Light rum,,,,,,,Lime,Sugar,Mint,Soda water,,,,,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,2-3 oz ,,,,,,,Juice of 1 ,2 tsp ,4-Feb,,,,,,
Mojito #3,11/4/2016 9:24,15841,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg,Collins glass,,Mint,,,,,,,Lemon juice,Dark rum,Club soda,Angostura bitters,,,,,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",1/2 handful , ,,,,,,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops , , , , ,
Monkey Gland,9/2/2017 12:11,17189,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Benedictine,Orange juice,Grenadine,,,,,,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",2 oz ,,,,,,,1 tsp ,1/2 oz ,1 tsp , , , , , ,
Monkey Wrench,9/2/2017 12:55,11798,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg,Old-fashioned glass,,Light rum,,,,,,,Grapefruit juice,Bitters,,,,,,,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,3 oz ,1 dash , , , , , ,,
Moranguito,10/5/2016 12:35,16196,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Shot glass,,Absinthe,,,,,,,Tequila,Grenadine,,,,,,,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",5-Feb,,,,,,,5-Feb,5-Jan, , , , , ,,
Moscow Mule,9/2/2017 17:49,13254,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Copper Mug,Contemporary Classics,Vodka,,,,,,,Lime juice,Ginger ale,,,,,,,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,2 oz ,,,,,,,2 oz ,8 oz , , , , , ,,
Mother's Milk,9/8/2017 16:43,14053,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7stuuh1504885399.jpg,Shot glass,,Goldschlager,,,,,,,Butterscotch schnapps,Milk,,,,,,,"Shake over ice, strain. Serves two.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
Mudslinger,9/8/2017 16:45,16041,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg,Punch bowl,,Southern Comfort,,,,,,,Orange juice,Pepsi Cola,,,,,,,Add all contents to a large jug or punch bowl. Stir well!,750 ml ,,,,,,,1 L ,750 ml , , , , , ,,
Mulled Wine,9/6/2017 23:08,12988,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg,Collins Glass,,Water,,,,,,,Sugar,Cloves,Cinnamon,Lemon peel,Red wine,Brandy,,,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",3 cups , , , ,,,,1 cup ,12,2,1,750 ml ,1/4 cup , , ,
National Aquarium,8/24/2017 9:57,13192,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg,Collins Glass,,Rum,,,,,,,Vodka,Gin,Blue Curacao,Sour mix,Lemon-lime soda,,,,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,1/2 oz , , ,,,,,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash , , , ,
Negroni,8/18/2015 15:12,15549,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tutwwv1439907127.jpg,Old-fashioned glass,Unforgettables,Gin,,,,,,,Campari,Sweet Vermouth,,,,,,,"Stir into glass over ice, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
New York Lemonade,8/24/2017 10:04,13204,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg,Cocktail glass,,Absolut Citron,,,,,,,Grand Marnier,Lemon juice,Club soda,,,,,,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,2 oz ,,,,,,,1 oz ,2 oz sweetened ,1 oz , , , , , ,
New York Sour,9/8/2017 15:59,11844,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg,Whiskey sour glass,,Blended whiskey,,,,,,,Lemon,Sugar,Red wine,Lemon,Cherry,,,,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",2 oz ,"
","
",,,,,Juice of 1/2 ,1 tsp ," (Claret)
","
","
","
","
","
",
Nuked Hot Chocolate,2/20/2017 15:05,12746,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,Coffee mug,,Cocoa powder,,,,,,,Sugar,Vanilla extract,Milk,,,,,,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",2 tsp ,,,,,,,1 tsp ,1/2 tsp ,12 oz , , , , , ,
Nutty Irishman,9/3/2015 3:40,13861,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg,Highball Glass,,Bailey's irish cream,,,,,,,Frangelico,Milk,,,,,,,Serve over ice,1 part ,,,,,,,1 part ,1 part , , , , , ,,
Old Fashioned,11/4/2016 9:46,17179,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Old-fashioned glass,Unforgettables,Bourbon,,,,,,,Angostura bitters,Sugar,Water,,,,,,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",4.5 cL,,,,,,,2 dashes,1 cube,dash,,,,,,
Orange Crush,9/8/2017 16:52,15330,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg,Shot glass,,Vodka,,,,,,,Triple sec,Orange juice,,,,,,,Add all ingredients to tumbler-Pour as shot,1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
Orange Oasis,9/2/2015 5:25,11870,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xqqytq1441167923.jpg,Highball glass,,Cherry brandy,,,,,,,Gin,Orange juice,Ginger ale,,,,,,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",1/2 oz ,,,,,,,1 1/2 oz ,4 oz ,"
","
","
","
","
","
",
Orange Push-up,8/24/2017 10:09,14586,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,,Spiced rum,,,,,,,Grenadine,Orange juice,Sour mix,,,,,,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,1.5 oz ,,,,,,,0.5 oz ,4 oz ,1 splash , , , , , ,
Orange Scented Hot Chocolate,2/20/2017 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,,Milk,,,,,,,Chocolate,Orange peel,Espresso,Nutmeg,,,,,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",2 cups , ,,,,,,4 oz chopped bittersweet or semi-sweet ,3 2-inch strips ,1/2 tsp instant ,1/8 tsp ground , , , , ,
Orange Whip,2/3/2016 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,,Orange juice,,,,,,,Rum,Vodka,Cream,Ice,,,,,Pour ingredients over ice and stir.,4 oz , ,,,,,,1 oz ,1 oz ,1 package ,Over , , , , ,
Orangeade,9/2/2015 5:22,12618,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,,Lemon juice,,,,,,,Orange juice,Sugar syrup,Soda water,,,,,,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",5 cl ,,,,,,,15 cl ,2-3 cl ,"
","
","
","
","
","
",
